,0,1,2,3,4,5,6,7,8,9,10,11,12,13
12,10/04/2021,imighthaveeatingdisorder,"I lost lot of weight in past month not on purpose but because i feel disgusting when i eat, i want to gain weight but i just can't force myself to eat. i just feel like i have problem in my head but at same time i think i am just overreacting. am i overreacting?","Hi kat167mar - welcome to the forums! We’re glad you found us. Since you’re new, we wanted to make sure you knew about the NEDA Helpline - (800) 931-2237. Helpline phone hours are Monday-Thursday from 11AM to 9PM ET, and Friday from 11AM to 5PM ET. Helpline chat hours are Monday-Thursday from 9AM to 9PM ET and Friday 9AM to 5PM ET. You can contact the Helpline for support, resources, and/or treatment options. Please don’t hesitate to reach out, and please continue posting!","Ultimately, all that matters is if it is distressing for you. If you can maintain healthy habits with low/no stress, then you are good to go. For you, I'd say, if eating is a hard time for you, that isn't exactly ""normal"". There are a lot of questionnaires online to gauge how you feel about body image, eating, exercise, etc. If you are able to, contacting a therapist for a consult is always helpful. It is always better to heal food issues early before they are fatal. Hope this helps!",,,,,,,,,
13,10/12/2021,overcomingatrigger,"I'm working in baby steps toward recovery from orthorexia/EDNOS and I've been progressing very well and have honestly been proud of myself. I've gained some weight since starting this recovery journey in July and have since been in a relationship with someone I love very much. I know they love me as well and love my body for how it is. They have never had an eating disorder and has been naturally slim and muscular for all of his life. The other day, he made a comment regarding his own body and how he noticed his stomach is ""chubby"", which ultimately triggered me. I'm very private with my eating disorder and he apologized for his insensitivity and really thought about how that affected me. Despite his compliments of my body, ever since this happened (last night) I have felt so bad about myself and don't want to hold onto this because it's done and over with. I just feel so upset with myself knowing that I have belly fat now because of my recovery weight gain and that I used to have a flat stomach that he will never get to see, even know he met and fell in love with me with the body I have now. Does anyone have any tips on how to combat triggers or situations like this?Thank you, much love and peace xoxo","Welcome to the forums! It's great that you are posting and we are here for you! We did want to let you know that we had to edit your post to remove weight numbers, which can be triggering for others. This violates our community guidelines where you can check them out here. Keep posting!",,,,,,,,,,
14,10/12/2021,WheredoIevenstart?,"Hi! As I was doing the dishes and listening to music - surprisingly relaxing - I was thinking about how much of my life obsessing about my weight and food.  I'm 45 and I cannot remember a time when I did not worry about it.  I've never had a time when I could trust my appetite... and I still don't.  That's why I eat the same exact thing every day.  I still worry about letting myself relax - physically and mentally - because I don't trust myself and I continue to let what I worry other people will think take precedence over what I think is right for me.  I have tried to be nonchalant about my issues in front of my duaghters, but what if they have internalized my panic and lack of trust? So far, I don't see signs that I need to worry.  But I wish I could look forward to enjoying food with them.  Instead, I dread eating with other people, even my own family.  I just don't know where to start with letting go.  Thanks for reading this... I just needed to get this off my chest and, although I have wonderful people who listen to me, would love any feedback from people who know what it's really like.",,,,,,,,,,,
15,09/26/2021,IfeelIwillnevergetcontrol,"I have had a food addiction/binge eating disorder for longer than I can remember. I can't put my finger on a time in my life that it started just when I realised, and that was about 3 years ago, im 25 now. I don't know how to begin recovery but I want it bad. I want to be healthy and not have such an obsession over food. I wanna just eat to live and not the other way round. Because of covid and being at home all the time I have put on about X pounds. despite my ED was able to maintain a relatively healthy weight. Now however I don't wanna leave my house, im obese and all I think about is food and crave the feeling of being full. I guess I need help on where to start or maybe some tips to recovery. TIA","Hi Allexkat96, welcome to the forums. We’re glad you’re here. We slightly edited your post to remove a weight number - you can review our community guidelines here.  If you need assistance finding resources, we encourage you to contact the NEDA Helpline at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET. Additionally, you can chat with us online M-Th 9am-9pm ET and F 9am-5pm ET. Please don’t hesitate to reach out and take care.","I guess we just have to try harder to have a healthier outlook on our lives, beginning with our bodies and what we feed them.....?","I resonate with everything you've said! It's so frustrating knowing I'm not hungry but still continue eating. I know what I should eat to be more energetic, less bloated, and in a better mood but just keep rolling back to junk that leaves me tired, cranky and dissatisfied.","There could be a number of things making you feel this way. A start would be to get a check up from a general physician. Then check in w/ a counselor or nutritionist and f/o how to better nourish yourself. There is all kinds of info if you Google a key word like Nutritious Eating, or Recipesfor your eating preferences. Are you in therapy. 1 on 1 therapy has helped me a lot. The physical issues are part of my aging process. But I also had relatives who suffered from health issues so you just never know. They do blood work and labs to check all functionsand alert you if there is a need for any extra meds, or treatment at the doctor's. GOOD LUCK on your Healing Journey","Hi, I can relate very much. I have been calling off work because of my depression and binging and it's super embarrassing because I don't feel like the people at work will understand. Thing is, I know exactly what I need to do, or at least the first right step but I don't feel like I can do it. Maybe asking for help is okay and good.",,,,,,
16,10/07/2021,Ireallyneedhelp..,"Hey guys...
I am a 47 year old anorexic woman. I had anorexia in my teens, which I had to be hospitalized for. I am normal height and I got down to a very low weight. At age 17, I got help and started recovery. I was under the assumption that I had fully recovered because I was able to eat intuitively throughout most of my adult life. But there were a few periods where I fell back into anorexic behavior, so my trajectory should not be too surprising.
2 years ago I got out of an abusive marriage. Like many people who suffer from eating disorders, I have experienced trauma. My parents were alcoholics, I was sexually and verbally abused and I have endured 3 divorces, not to mention the 6 divorces my mother went through while I was growing up. Stability was in limited supply and, put mildly, I have been through hell.
So, after the domestic violence incident in 2019, I spiraled back down into anorexia. Unfortunately, I cannot seem to find my way back out of it. I have a daughter, so I worry what influence this might have on her. I am currently receiving counseling but can't seem to stop. I count calories obsessively, overexercise, cut up my food, consume caffeine all day... you guys know how it goes. But I am angry at myself because, while I know that what I am doing is harmful and desperately want to stop...I just can't seem to.
I need help. This is impacting my ability to function. The only part of my life that seems to be thriving is my family life (for which I am grateful), but I wonder what affect this is having on them?
Incidentally, I am a very thin (but not dangerously underweight) woman, so no one outside of my family or therapist would suspect I struggle with this. Truth be told, I am of two minds. On an emotional level, being thin is satisfying. Note the word FEEL. It makes me FEEL attractive and FEEL like my life is in control. However, I KNOW (logically) that the feelings of control are an illusion, I KNOW that I am probably more attractive when my skin has color and I'm healthy and I KNOW that this is destroying me from the inside out. So, if I know this, why can't I stop?! This obsessive cycle comes at the cost of hurting my family, not to mention MYSELF. I always feel cold, I've lost so much hair, I am unable to sleep or concentrate and I'm destroying my body from the inside out. No one should feel happy when they see their ribs and chest bones! This is really difficult. I want to have my life back. I miss eating food and feeling FREE and happy.","Welcome to the forums! It's great that you have the courage to share your story! We did have to slight edit your post to remove weight which can be triggering for others. This violates our community guidelines, You can review them here. If you feel like you need to reach out to someone, NEDA is here for you. the NEDA Helpline and online chat is here for you. You can call 800-931- 2237 or chat, https://www.nationaleatingdisorders.org/helplinechat  to discuss support options. Helpline phone hours are Monday-Thursday 11am-9pm ET, Friday 11am-5pm ET. Helpline chat hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET. We hope you find the support you are looking for and keep posting!    ","Welcome to the forums and congratulations on so many years that were anorexia-free.
Once, I heard a therapist saying that full recovery from eating disorders is possible. Like we all can recover from a cold or a broken leg. However, we can experience a cold or break another leg later in our life.Anorexia seems to be back to your life but it may be just a lapse. You already overcame it once and I am sure you will overcome it again. You are getting treatment, you are fed up of the illness, what is that you are still afraid of doing in order to get your life back?If you are fearful of eating or not working out, do it now. The more you challenge your ED, the sooner you will be able to get rid of it. I know it is not easy. I perfectly get it. I am 41 and have had all types of eating disorders. I have been fine sometimes and I have relapsed others. But each relapse has come with a lot of learnings. I know that the older I get, my body can tolerate less the side effects of my ED. I know that an ED can steal the joy of my life. I know that an ED can make me so depressed to feel like wanting to die.So, start challening your ED, NOW. Don't leave it for tomorrow. We have it always in our back pocket. We use it when life gets hard. But our experience has shown us that it is not the way out.I send you a big hug. Keep fighting!Annet",,,,,,,,,
17,10/06/2021,FeelingLikeIHaveNoControlOveraFewThings...........,"So my period's been irregularly late since July. My belly and upper torso just feel so bloated to me. I try and exercise but in spite of hydrating w/ plenty of water, eating carefully, and even praying.I just can't seem to get a grip on my body's rebelling against all the years of self discipline, and healthy lifestyle. I feel embarrassed to even go near friendswho hadn't seen me since CV-19 shelter began in 2020. I am feeling kind of euphoric over getting a better grip on my body getting straight,  and getting back into shape. I am taking 1 day off during my work week to catch up on everything that I can't do because,  I have returned to my 2 job routine as before, and ever shall be for me, AMEN..... work as a teacher,  once again. I miss Not being in 1 to 1 , onsite therapy,  at my doctor's office. It's all still done w/ Zoom check ins, ZOOM jobinterviews, Zoom board meetings, and other eye straining and neck muscle straining too.ughhh!!I just wanna Zoom away to a far away place, and ask The Great Wizard of Life to please helpme to get back to the way I was comfortable before. ALL this COVID, Covid, CV-19...took me out of the fast career whirlwind that I was stuck running in. felt like it froze me in 1 sheltered spot for almost 2 yrs of my hardly lived life of 35-Something+ years old,   and a few yrs + or - either way.I feel really sedated and slow, somehow controlled by something other than myself. I am a control freak so feeling like I am being controlled by something other than me is like being on a bad roller coaster ride that just won't end..... I am really tired of this crippling feeling. and need to get myself back up to AAU speed.I plan to take 1 step at a time. I have a new goal andit will take timeto accomplish.Take care everyone....",,,,,,,,,,,
18,09/18/2021,Depressedkid,How have you been doing lately?,I'm kind of mad. I felt like I was feeling better than in a long time and I felt like I had some sort of control again.. Then I decided to have fun with my friends and we went to a restaurant and everything was lovely. But today I just feel like I can't do anything fun anymore. I feel terrible about the amount of food I ate and the fact that I didn't exercise because I was with my friends.. This just takes too much energy.But that is how I'm doing right now.Please do also tell how you are doing? Tell if somethings on your mind but if everything is going well tell that also. It would be nice to hear something good.,"It's good hearing from you.   In regards to my eating disorder recovery,  I've been doing really well.   In terms of trauma,  I'll be going inpatient for major ptsd on Friday.   I am really struggling.   Lots of flashbacks and body memories.   Night is hell.",,,,,,,,,
19,07/10/2021,MyOB-GYNexamleftmeinaBadSpaceyesterday..............,"Firstly, I went to see my OB-GYN yesterday. We discussed my fibroids. Good news is that they are smaller then when evaluated a few yrs ago. Then , of course, like every OB-GYN exam, which is always so intimidating to me. I Never have adjusted to this invasive type of annual exam.Good news is the Dr said that everything LOOKS OK but if begin having a severe period or painful abdominal that I must race to the ER where they may do a spring cleaning of my old lady parts and then that shall be the end of that problem once and 4 ALL.....The bad news is that I have gained a lot of weight since she saw me last. I felt Very Ashamed sitting naively and having this bad news thrust upon my ears and then my stomach began to tighten and I thought that I would race out to the nearest bathroom and purge. Secondly, it felt like my restricting ED was triggered all over again from the bearer of this scary, truthful news about my issue of having become overweight in the last few yrs since she had seen me last.I last saw her when I was at the ER for severe pain in my stomach. My med chart states that I actually had a diverticulitis flare up and was internally toxic. I felt so bad, the EMT had to remove my IV so I could run and throw up in the nearest bathroom. This rude woman blocked my entrance to the toilet and held a plastic bag for me to throw up into. I couldn't speak OBVIOUSLY-duh, so I had to go around her rude road block. It actually felt like such a relief to rid myself of these acute toxins from my belly. That day was the 1st time the OB-GYN came in to discuss my other problem currently haunting my womanly organs. Well, I am just a little more aware of my weight as I have now heard the real news that I have gained a new pet donkey, and lost my feeling of self control and this feels scary to me. Lastly, I am actually feeling more goal oriented to be careful of what I place into my mouth  and I'm sure I will be relapsing into a full fledged case of restricting behavior. I'm sure I will feel much better when the local pools re-open, and when I find a gym to tone and sculpt my muscles which were in great form just a year and a half ago.Oh well for now. The bitter Truth is Not sweet 4 me. The truth about my Covid weight gain feels like a fulcrum in my attempt to get healthy. Once I get the Go Ahead from the recreational facilities in my local area, I will be exercising once again.I hope that you all are working on your plans for achieving a healthier YOU and keep up the great work....","I am sorry to hear about your health problems. However, it is good that the doctor found you well.
I do hate going to any type of doctor but the ob-gyn is the one I fear the most.
Please do not get frustrated due to your current weight. Life is too short to live by being slaves of what we eat or how much we work out. The best here is to live your life, create your own memories and to send our ED to the back seat. Whatever weight you may have that is more than your ""healthy weight"" will eventually go once you resume your normal activities. Please avoid going into restriction because we all know, we do not get anything good from it.Hugs
Annet","I will try my best....But, sometimes my best isn't always good enough.....","Dear 2Healthy4me, we would like to inform you that we edited your post to remove language that could be triggering to other users. You can review our community guidelines here. Thanks for your understanding and please continue to post!  ",Moderators.  It is appreciated.,I am sorry to hear that you had a bad experience.,"That doesn't sound very good. I'm sorry you had to go through all that horror. I can relate to being overweight. I'm not having the easiest time in my life right now, and my period hasn't come in almost two months. So I decided to make an appointment with a gynecologist to find out the problem and what's wrong. Of course, I guess that this happened because of stress in my life, and all the bad things that happened in one period greatly affected my body. I want to solve this problem somehow. Thank you for sharing yours with us.","Hi Gaulithan! It's great that you are posting and offering support for others, however we did have to edit your post to remove links. This violates our community guidelines. You can review them here. Keep posting! ",,,,
20,09/28/2021,MyBodyImageisFragileasIContinuetoRetainExtraWater,"I have not a clue about what the heck is going on with my body. I am still dealing with uncomfortable water retention. Around my right ankle, on the side, my foot looks puffy. My stomach area is so uncomfortable filled with water retention. My walking shoes are all fitting tightly. I have been taking walks w/ my summer sandals on nightly. I feel like I have lost my firm grip and have given in to feeling weak over all this water retention and continuous weight gain. I had to order bras in a size larger to fit my chest comfortably as the water retention is the greatest around the front of my chest, and back area too. This is not a crisis issue but more like a sense of loss of control over my well toned body that was accustomed to working out moderately almost daily at the pool or gym. So because walking is my last resort, and my feet are not fitting in my sneakers so well anymore I feel defeated by this awful water retention. My gynecologists' said the ovarian fibroids are large but should not be causing water retention or obvious weight gain. I am fasting more as a result of feeling helpless over my body's weight gain and water retention. I have placed my old herbal diet remedy back on my order list and am about to begin using this as soon as it is shipped to me. I cant walk any faster than my legs will allow me to. And still awaiting the local pool to re-open. My patience is getting shorter as I desire to gain control over this problem currently trying to overcome.",,,,,,,,,,,
21,09/23/2021,IFinallyReturnedtoMyOnsiteJobToday,"I felt anxious before checking for my day's work assignment.I checked and just when I thought I had not seen any jobs for the day, I found one that fit my schedule today.I found that in order to feel full,  and energetic, I must eat breakfast,  at least 1.5 hrs before I leave for work. I also take vitamins and a supplement. I am slowly increasing my supplement month by month. Then when I walk at night, before dinner.When I arrive home, usually this is dinner time.I feel so tired straight through my walk,I think I have self induced TMJ now.Oh well, gotta go chew my gum.Bye, take care all of you forum writers.  4 blocks round my neighborhood. I chew a super minty gum until my jaw can't chew no more...I chew gum at both of my jobs too.I am adhering to my choice of healthy meals, and watch Netflixfor the rest of the evening, after work from my PM retail job.I am now going to bed earlier, than during Covid Recess.My lights are out by 10PM, and I'm sleeping well for now.I still have 2 totally different jobs, and lots to workis a good thing for my ""Living Budget"".","Dear 2Healthy4me, we would like to inform you that we edited your post to remove language that could be triggering to other users. You can review our community guidelines here. Thanks for your understanding and please continue to post! ",I 'll try harder.,,,,,,,,,
22,09/18/2021,Resourcesforfinancialassistancefortreatment,"I'm currently experiencing a full relapse of anorexia. My doctor has stated that at this point in my illness, it would be best for me to seek inpatient treatment. However, I am self employed (I teach piano) and if I take 3-4 weeks, I don't get paid. On top of that, my husband makes very little. We can only just afford bills as it is. I'm exploring intensive outpatient as an option as well, but even that would interrupt my schedule for teaching. No matter what way we go, it's looking to be difficult for us to afford the level of care I need. I'm overwhelmed and depressed and don't know what to do. Does anybody know if there is any sort of financial assistance that exists for inpatient treatment. We do have insurance, but I don't think it would cover much of it. Thanks in advance.","Hi Fidget1087, welcome to the forums. We’re sorry to hear about what’s going on. We encourage you to reach out the NEDA Helpline at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET for help finding treatment options and support. Additionally, you can chat with us online M-Th 9am-9pm ET and F 9am-5pm ET. Your recovery matters, and we hope you stay safe and take care. ","seems like an obvious solution, ha?
Then there's always the college route and student insurance.
Perhaps use video therapy appointments;
they are more convenient for your available times.
There has got to be a way you can deal with your ED situation.
I wish you Good Luck in your RECOVERY.
Take 1 Day at a Time...",,,,,,,,,
23,09/23/2021,Doubtingdiagnosisinextremehunger,"Hi everyone! First of all, this is my first post, so I'm not really sure how to put this. I was diagnosed with anorexia this year, and have suffered similar episodes in the past. This relapse was by far the worst, and I am now trying to recover. As soon as I started to increase my meal plan with my dietitians recommendations, I started experiencing extreme hunger. I try to honor the hunger and eat more, but when I do this, a voice in my head tells me that because I am ""giving in"" to extreme hunger, I can't really have an ED, and that the diagnosis must be false. I am not sure if this makes sense... Does anyone else feel this way? Of course, I KNOW that starting recovery doesn't mean I was never sick, but I feel like I'm ""giving in"" to this hunger too easily. I'm just looking for support or anyone else who has experienced similar feelings...","I was there about 9 months ago. I was forced into recovery in a way, but there was no one holding me accountable. Despite that I ate a lot of food during extreme hunger with little compensation, so I gained all the weight back and then some. I felt like and still do sometimes, “maybe I wasn’t really anorexic, I was just exaggerating” because I wasn’t thin enough, I binged and purged during my anorexia instead of restriction and exercise. And I had people tell me I was definitely dealing with an eating disorder, but I never got a professional diagnosis, so I continued to doubt myself. Af the end of the day, I know you have heard it 1000 times before, the severity has nothing to do with anything physical, if it causes you stress or pain or whatever, it deserves to be healed. I spent months trying to go back to the original behaviors, but I never could maintain it, and I hated myself because if it was so effortless to eat again, then I never was sick. Over time, this feeling has faded for me, mostly because it’s just useless to keep ruminating and it stresses me out. The best things I can recommend is literally just validating yourself. I would’ve thought that is SO STUPID, but you hear something enough like “you are sick enough and you deserve help” you eventually start to listen. Now, 8 months later, I’m starting to return to a normal life with regular eating and normal people things like college and jobs. So I guess it does get better :)",Thank you for your wonderfully kind response :) it makes me feel a lot better knowing that someone else has gone through something similar and that it does get better... I really appreciate your reply and resonate with what you've said. thank you :),,,,,,,,,
24,08/15/2021,BeforeDinnerTime,"Hi,
I'm currently trying to recover from my eating disorder.
One thing that has really been upsetting me lately is before dinner. Just like what happened today. I was cooking with my mom, and I just felt so stressed, pressured, and overwhelmed as we made all the food. There was so much everywhere. I wasn't dizzy, but it was like everything was whirling around me and I ended up breaking down because it was all too much. Not all days are like this, but it seems to be a trend.
This is why I am wondering if anyone has ideas on how to make this part less stressful. What do you do when making the food is difficult? Do you just push through it like a semi truck or distract yourself by watching Mr.Bean? I don't know but please share any ideas.
Thank you.","Cooking can be stressful and I also feel overwhelmed depending on what I make. I found that if I try to prep as much before cooking, like pre measuring ingredients, or if I make a side or appetizer to go with the meal, I'll make it before I even start cooking. I find that it makes cooking easier and more enjoyable and doesn't feel as stressful or frustrating. Also when I feel like when I'm cooking and it's getting away from me, I ask my mom to help out, so maybe you could let your mom take control and see what you can do to help her out so it's not as overwhelming",,,,,,,,,,
25,09/12/2021,Snackingcontrol,"I have been in AN recovery for months and can confidently say that I am very close to healthy and normal eating, as well as food freedom. There is only one thing that has been bothering me.Ever since I started my recovery, I have been having difficulties in controlling my snack portions. Almost every time I have to finish the whole pack of snack to stop. I tried to stop amid, district myself, find replacement, all did not work out. I did snack before AN but I always stopped naturally. Yet, I feel like I lost that ability/ power now...Anyone shares similar experience? What can I do?","I feel like I have to finish the whole pack too, so I try to buy the individual packs. Or I will put my snack in a bowl so I feel satisfied that I ate the whole thing, but didn't eat the whole bag! I usually do this when I'm craving a certain snack",,,,,,,,,,
26,09/11/2021,ReallyWorriedovermyWeightGainafterCovidRecess.....,"I am still gaining weight. I have never felt this way before.I eat regularly, within moderation, and exercise 4 x a week or so. Everything I do is in Moderation. After I took a tumble down my apt stairs about 8 months ago, my body has had achy thighs, pelvic bones, and now swelling in my ankle area. I did freak out and have been taking OTC water pills to help w/ this foot problem.I cant even wear normal footwear to my retail job currently from this swollen foot.I only eat X meals a day and X snacks as well.Nothing is snacked on that would even cause me to gain weight, sometimes 1 Lb. a day.I have donated all my gently used jeans, and other dresses, some which I was planning to wear when I fit into them as they were just a tad tight on me.I had to order new dresses, exercise pants, tops for work, etc.I am frustrated over these changes in my body weight and size. Still waiting for the town pool to re-open. Still only walk a few blocks per nights off from work, as my thigh and foot problem are painful currently.I buy clothes but keep wearing this 1 type of summer shorts and gym tops. When I do take eve walks I feel angry that I am only able to walk for exercise currently. I am grateful to God for what I do have, and all my working body parts, but still hard to accept the changes to my body currently.","I am sorry to hear about your health and weight struggles. Often, I feel like you.  I often ask myself: ""Why if I am doing all the right things, I am feeling worse?I do not have an answer. What I think is happening is that even though we are finding a balance in our lives (food/exercise-wise), we are unable to avoid our body complaining for so many years living an ED-life.Also, we are not 15, anymore. Besides all the damage we have done to our muscles and joints, for sure some other aches come from aging and recent injuries.In your particular case, I think your weight increase comes from your water retention problem. Please talk to a doctor and also tell him about your body aches. Sometimes, water retention causes everything to hurt. Also, you fell down from the stairs. Please ensure everything is okay.The other day, one of my Uni counsellors replied back to an email I sent him (he is retired, already). He said: ""The more that I age, the more that I learn just to observe and feel"".I am hyperactive, I suffer a lot when I can not practice my favorite exercise. But at the same time, I think of what may happen when I am old or disabled... Maybe, I will learn to observe and feel...It is just another way of living life (besides doing/moving our body).Hugs
Annet",You sound like such a wise person.,"I am an average person. But lately, I think I am more open to what the universe, life, my body and other people want to tell me.
We are all wise. Wiseness is inside of us. You are, too.","Stay healthy, and wise. Take care and keep up the good work,    1 Day at a Time.....",,,,,,,
27,09/01/2021,"goodmorning,sadgirlfromitaly","goodmorning,
i am so sad becouse all of my hair is falling.... all. do you think they will be fine once I will have my hormonal balance back? please help I am so concerned...and I feel lonely.. nobody understand me.","Losing one's hair is not fun. I noticed that when I began taking biotin, and several other vitamins, that my hair, skin, and nails all began growing healthy, and more quickly.
When I ate nutritious meals I also felt healthier, I had new energy to exercise, and take on a new job.
I had energy to live my life instead of just feel sluggish and craved the wrong foods that were not the best choices in food that I should eat.
My psychiatrist prescribed an rx for Seasonal Affective Disorder and that too has been a long term life saver while needing an rx to lift my head Above the dark clouds.
Stay strong, find a doctor, and counselor for support, find fun things to do, call friends. Just don't keep checking on your hair. Let the nutrition do what it is supposed to do and if it resonates with you, give God, or your Higher Power a chance to help you as well",That's what your ED tells you.,"Hi elleelle, thank you for posting on the forums. We’re sorry to hear about what’s going on, and encourage you to speak with a medical provider about your concerns. Your well-being matters – please feel free to continue posting, and we hope you stay safe and take care. ",,,,,,,,
28,03/29/2021,Anxiety,"I am new to this chat style forum. I am reading a book to help begin recovery for binge eating and emotional eating and they recommend talking to people as a line of support. I figure, confiding in people who understand what I am going through would be more beneficial than confiding in family who may not fully understand.I overeat compulsively and it is so difficult to stop. As soon as I get a craving I have to satisfy it, anyone else? How do you just fight that craving and say no? I am tired of being consumed by food. I want to eat to live, not live to eat. I suffer from clinical depression and anxiety and I know that contributes but what else weighs us down in life? What other feelings am I holding on to that I need to release, to be freed from binge eating??Hugs","There are therapists, chat lines,crisis lines, nutritionists, and books to help you learn to eat and cook sensibly. You sound like you would benefit from some soul searching. Reflect upon yourself and see what you desire to improve. Then journaling always helped me to meet my goals, and vent to myself about what ever gets in my way.Good luck, and hope you are good to yourself","I can't even imagine how difficult it is for you right now. It's good that you spoke out on this forum. This is the right decision, you don't need to keep it to yourself. Try talking to a friend or see a psychologist.","I just want you to know that I'm proud of you! It's great that you want to change this and share your feeling with others.
I had problems with an anxiety disorder for a long time, and it was very hard for me. I am happy that the people closest to me helped and supported me. Plus, I was taking some medication nd it was easier for me to go through it all.
You have to know that people here will always be there for you. Write at any time, and we will always support you because we understand how you feel. You are not alone.","Hi Alcina! It's great that you are posting and offering support for others! We did have to slightly edit your post to remove links, which violates our commmunity guidelines. You can view them here, https://www.nationaleatingdisorders.org/forums/community-guidelines Keep posting!",,,,,,,
29,09/15/2021,NoIdeawheretogoforhelp,"I began seeking help back in April and because I work night shift, the residential program they were going to send me to had a hard time contacting me and bumped me off the list after two missed calls 30 minutes apart. I finally got back into the loop and had to get all my tests redone, which only made me feel invalid since I had shifted from UW to only slightly UW from daily b/p. There has been little to no follow up since I got my tests done and i haven’t been able to get a therapist either. I just don’t even know if I care anymore but I can’t keep cycling between too unhealthy to do the bare minimum at work and spending $50 on binge food in a single sitting.
I don’t know. I just am not having a great time and don’t even know what steps to take to make anything better. Ive tried calling the NEDA helpline or other behavioural health services in the area but no one is ever on the line and when i do get someone, i get directed to someone that’s “in a meeting and can’t speak to me right now but if I leave a message they will definitely surely 100% get back to me right away and definitely not delete my message and move on. i’m just even close to calling the suicide line to get any semblance of resources for me to go to. I just want any information or resources at all.","Hi Kechall! The forums are always open and here for you. Helpline phone hours are Monday-Thursday 11am-9pm ET, Friday 11am-5pm ET. Helpline chat hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET. If you browse the NEDA website and look under the ""Help & Support"" tab, there are some options to check out for finding support near you or where to start or free & low cost support. The forums are always here and we hope you keep posting!",,,,,,,,,,
30,08/31/2021,birthday,my 16th birthday is coming up and im trying to find something fun todo to celebrate... everything that I can find revolves around food and its the one day I don't want to be worrying about the requirement of my portion and the amount of cal. any non-food birthday ideas?,Getting a mani pedi or massage or a mini vacation at the beach or going to see a movie?,"I've been wanting to kayak recently because it seems fun - especially if your Birthday is around the time that leaves change colors, it could look really pretty out, and it's just nice to be outside. Other ideas: an art/ceramic class at one of those open art studios or exploring an art museum","I understand your concern but wouldn't you be willing to give yourself a day off from your ED?
Don't you think it would be nice to remember your 16th birthday as the day when you said ""No"" to your ED and tried to eat something along with the people you love?
You do not need to eat the entire cake or your full meal. Just to enjoy people's companion and eat whatever you feel comfortable to.If that is too much to ask, then, plan a SPA day with your friends or go to a restaurant and share food. In that way, nobody will notice how much or less u eat. A trip on your own would be great.Annet",,,,,,,,
31,09/13/2021,I'veneverthoughtaboutrecoverybefore,"I feel like instead of working towards recovery, I've just settled on learning how to manage my disordered eating. Since middle school and being introduced to the food pyramid and food tracking, it was a downhill spiral from there and I started purging  + severely restricting what I ate. That was over 8 years ago, and now I've stopped purging (and I have gotten over some of my fear foods!), but I still can't stop myself for having these destructive thoughts about eating/me deserving to eat that cause me to just completely throw out a meal in the middle of cooking it or cry over the fact that I bought one type of food instead of another. I acknowledge that I use restriction as a way of harm towards myself as well. I've been to therapy before about anxiety and other issues, but I never fully brought up my ED because I thought ""I need to get through my other problems first"" or because the therapists I've been to specialize in something else I was struggling with. I've also had super bad experiences with therapists lately where they seem frustrated with me, so I'm scared for a bit.The only reason I bring all this up now is because I know that my friend has been struggling with their body image, and I have no idea how to comfort them or the right things to say and I'm scared about making things worse or watching them spiral into an ED. I've talked about body neutrality with them, but I don't think that's helpful. I'm even scared just to tell them fully that I've struggle with an ED because I know for me, competition is a big driver (ex: ""they didn't eat today, so I shouldn't"") and I don't want to trigger them in anyway or shift focus away from them in any way. I also know how useless it can be to hear ""oh but you're beautiful!"" when talking about your body, cause our thoughts are so persistent.how can I help my friend + how can I help myself? (thank you for reading)","Hi! Thank you for posting. We’re sorry to hear about what’s going on! We hope that you’re able to get the support you deserve here on the forums. We made an edit to your post as specific details might be triggering for others. When you get the chance, please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelinesYou mentioned some concerning feelings, so here are some resources you can reach out to: 
 If you’re looking for resources, please feel free to contact the Helpline at (800) 931-2237. Phones are open Monday-Thursday 11AM-9PM EST and Friday 11 AM-5PM EST. Our Click to Chat is open Monday-Thursday 9AM-9PM EST and Friday 9AM-5PM EST. You can click the chat now option at the top right hand corner! Please continue posting and stay safe.",,,,,,,,,,
32,09/08/2021,Gainedweight.,"I've been in college for about a month now. My binge eating and exercise purging got really bad. I've gained weight and I can't stand to look at myself in the mirror. I've never been so emotionally broken in my life. I can't get my binging and purging under control. My mom wants to take me out and make me go to inpatient (I'm a year ahead in school so I am a freshman in college at 17, so she can legally do that) and I don't know what to do. I need help. I'm tired of looking in the mirror and having a full mental breakdown (leading to more binging) but I have an intense major and a semester off could really set me back. I don't know what to do.","Dear workingonitc19, we would like to inform you that we edited your post to remove the weight number, which is not allowed on the forums. You can review our community guidelines here. Thanks for your understanding and please continue to post! ",,,,,,,,,,
