,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10,welostdaughter,01/09/2020,Our daughter lost the battle,"Hello,
I am new to this site and only found out about it through the Combined Federal Campaign (CFC). I never really cared about what to donate to until now. We lost our daughter just a few weeks ago from complications with her bulimia. She had been fighting valley fever for about a year and a half and due to being malnourished, her body could not fight it anymore. A healthy person can usually fight it off in about 2-3 months.
She was a beautiful 27 year old girl who was very talented at writing and drawing. She lived with us several times over the years and we had just moved her in to her own apartment in November. She has been fighting this disease for about 9 years. We have had her in many treatment programs over the years, none of which she liked but she knew it was necessary. She did have dreams of success and had dreams of becoming a mother. We had those same dreams for her.
My main reason for leaving this message is to help people become aware about how serious this disease can be. I am still mourning her loss and still in disbelief that I will never see her beautiful face, hear her witty jokes or her laughter, enjoy her big hugs, or get her birthday cards (which she always told me that I was the best dad in the world and I was her hero).
My wife and I are going to start an awareness group and start fundraising campaigns to shed light on the whole issue, in the name of NEDA. We were always just focused on her and if we had started something like this sooner, my daughter would not have liked that kind of attention.
For all the parents out there that is dealing with a child with a eating disorder, I want to encourage you, plead with you, not to give up and always try to get your children the help they need.
Sincerely,
welostdaughter",_admin_moderator,"Thu,01/09/2020-11:58am","Dear welostdaughter, Thanks","Dear welostdaughter, Thanks for sharing your daughter's story. We are extremely sorry for your loss and grateful that you are sharing her story to raise awareness about eating disorders. Many thanks for your support and a staff member will be in touch with you. Sincerely, NEDA Forum Moderators ",,,,,,,,
11,fittsfamily,01/06/2020,PHP Alternatives,"Hello all,I am new to the forum and really all of dealing with ED.  My 15 (now 16) year old daughter was diagnosed in October with atypical anorexia and after 3 weeks in hospital was moved to residential treatment.  She is improving greatly and we are getting ready to have her come home at the end of January.  We are unable to find a treatment facility for her to receive PHP level care that is near us in St Louis Missouri.  There is one center that takes adolescents but unfortunately does not take our insurance.  The cash day rate is not affordable.  She has already spent 10 weeks away from home.  Are there any alternatives to PHP level care that anyone can suggest?   I am a nurse practitioner and although this is not my specialty I feel like I could handle providing the structure she needs and build in her therapy, manage physician care, etc accordingly.Thanks for any assistance!Fittsfamily",_admin_moderator,"Mon,01/06/2020-9:20pm",Welcome,"Hi fittsfamily - welcome to the forums. We hope they can be a wonderful resource for you. We also wanted to make sure you knew about the NEDA Helpline, which may be helpful and can be reached at 800.931.2237 M-TH 9-9 EST and F 9-5 EST. We’re glad that your daughter’s improving in treatment - recovery is possible!",,,,,,,,
12,brokenhearted,09/22/2019,Complacency Stage,"I have entered a new stage as a parent of a 22 year old with an eating disorder.  She has been through various levels of treatment that she has deemed worthless and any progress that was made, has not lasted.  She has graduated from college, lives back at home, actively job searching and working a low-paying job until an actual career comes along, making new friends and has a healthy social life, seems happy.  The illusion is that, although she appears to be functional, her physique shows otherwise.  She has no intention of seeing a therapist and avoids her Dr. at all costs.  Since I am the one she lives with, I know that everyone is waiting to see what my next move is.  Frankly, I feel ""stuck"", burned out from all that we have been through the past two years with this ED.  I honestly feel that unless she wants this for herself, any effort to coerce her to take some kind of action to get healthy is worthless.  On the other hand, I am very anxious about the possibility of something happening to her while I seem to have the caregiving role.  I feel complacent and helpless...",_admin_moderator,"Tue,09/24/2019-2:49pm",Welcome! ,"Hi. Thank you for posting and we are so sorry to hear what you're going through in regards to the situation with your daughter. If you’re looking for resources, please feel free to contact the Helpline at (800) 931-2237. The Helpline is open Mondays-Thursdays 9AM-9PM EST and Fridays 9AM-5PM EST. During these hours you can chat with us also by clicking the chat now option at the top right hand corner! Please continue posting and we do believe that hope for recovery is possible! ",,,,,,,,
13,dtraynor34,08/19/2019,"""Goal weight"" during AN recovery","My 21 yr old daughter was in residential treatment for 10 weeks for anorexia.  She was moved down to PHP and after 4 weeks moved back up to Residential as they did not see the weight restoration they wanted in PHP.  First, this was a very emotional ""hit"" in the process - she was really progressing in all aspects of PHP except weight.  The therapy team praised her for her participation and dedication to recovering. She is now back to how she was when we first started treatment - depressed, defeated, and miserable with the return to the restrictive/controlled environment in Residential.  And, there is no set plan for moving her back out of Residential - when they think ""it's appropriate"" for her.  The main driver for moving her back to residential is her weight compared to the ""goal weight"" they set for her.  I have asked how they determine goal weight with no good answer (I think it's age, height, gender charts) and how goal weight plays into the recommendations around level of treatment.  We understand that weight restoration is so important.  She has gained X lbs so far in this process.  The goal weight they have given me seems high -- and it would require her to gain another X lbs.Has anyone had to question goal weight? Did your child have to reach full goal weight in order to be moved up in treatment levels?  Do they set goal weights high because they know there will be some weight loss upon returning to PHP, IOP, etc.?We really don't want to discuss weight (the number), it should not be the focus.  But, in our case, this is the only reason they can give us for the return to residential with no real understanding of how/when her weight will be at the right number to move back to PHP and eventually IOP.Any insights are appreciated.  This is so hard -- and I am so extremely proud of my daughter for the progress she has made.  Watching this setback has been hard on all of us.",_admin_moderator,"Mon,08/19/2019-4:30pm","Dear dtraynor34, we would","Dear dtraynor34, we would like to inform you that we edited your post to remove mentions of weight numbers, which is not allowed on the forums. You can review our community guidelines here. Thanks for your understanding and please continue to post! ",,,,,,,,
14,[email protected],09/13/2019,Daughter 5th admission ,"Hi
I feel I need some more support so I’m here. My 29 year old daughter has been suffering with restrictive anerexia, PTSD, anxiertu and major depressive disorder for 9 years. She lives in Baltimore 90 minutes away. She is being admitted Monday back to a treatment facility for the 5 th time. I’m so depressed and upset. Twice she had to be forced to treatment by her therapist via the ER. This to she has been out of PHP for 4 months. She got a job part time as a contract therapist. She got her masters in social work while this has been going on. It was contractual so she was able to keep her Medicaid and disability. Just to back up she developed the ED sophomore year of college. Spent time inpatient twice but did manage to get her batchlers degree. Came home after graduation and had another stay. She is also suicidal. She went to Baltimore for a job and died pretty well. So well she was goof to study abroad a semester when she enrolled for her masters. Since June of 2016 it’s been awful. She has lost her friends. Her sister has nothing to do with her. Added to that her sister who is 4 years younger is living a charmed life. Bought a house, engaged etc. so we keep the same cycle for almost 3 years. Get sick stay in the treatment facility for months go home and then after a few months back in. This time she is telling me her out patients team knows she is only staying a week and will let her see her clients. I’m calling BS on that one. Probably saying whatever they need to to get her back in treatment. She won’t go anywhere else I’ve tried and she is limited with Medicaid.  She won’t listen to me anyway. I have no control at all. She isolates herself so I won’t know how bad she is. She is very concerned about my anxiety around her hospital stays. When she has been admitted it’s a shit show. She has 12 reptiles and a cat. We have gone in and taken care of everything.  I’ve learned from my support group not to take over and let her call the shots. I’m doing a good job this time but inside I’m falling apart. She is going to lose her job. It took a lot of convincing to get her to find a job because she didn’t want to abandon her clients. I can’t imagine they will keep her if she missed more then a week it two. I know all these details I should not be worrying about but I can’t help it. What’s goof to happen whensje loops her job, who will take cate of these pets etc etc. I know I should be happy sjebis seeking a higher level of treatment but is this ever going to end. I have health problems now. I’m trying to help my other daughter plan a wedding. We have financial issues from helping her.  Our friend and family are not any support anymore. They been there done that. We are alone  my husband tries but .... she won’t move back here and o no options. The ball is in her court and I have no confidence in her treatment. I’m worried she will kill her self over the weekend with the admission coming up Monday and I can’t do a thing. I feel like I’m falling apart. Any support would be appreciated toni",_admin_moderator,"Mon,09/16/2019-10:47am",Hello! We are very sorry to,"Hello! We are very sorry to hear that your daughter has been struggling. You mentioned that she is suicidal. We would like to pass on some resources. This number is really important to have: (800)273-TALK(8255). 
We also would like to inform you that we edited your post to remove mentions of the name of the treatment facility, which is not allowed on the forums. You are using your email address as your username. Please send an email to [email protected] to change your username as we don't allow members to use their email addresses as their usernames for confidentiality reasons. We hope that your daughter receives the help that she needs. ",,,,,,,,
15,bennys,08/23/2019,Daughter with depression and now ED,"Reading thru other posts I felt I was looking at a mirror and reciting their words to myself.  We have a 19yr. daughter that we just recently found out has anorexia.  We had to face and battle depression, 2 attempts of suicide and social anxiety and now we get to add to it an eating disorder.  So we have a support system somewhat in place which is helpful, but unfortunately our daughter doesn't take ownership of things enough to keep the support going.  We can keep her in her counseling sessions (which is a positive) but when it comes to staying with the needed meds she won't stay on them regularly and take them unless we push her, and as of recently she has neglected staying active with her Psychiatrist visits and therefore fallen out of ""the system"" and has to be reestablished as a new patient.  So now she is out of meds and we have to wait for an appointment to get into a psychiatrist to get her new prescriptions.  This of course all happens at the same time we've found out about the issues with eating. The first few days of things were scary and positive at the same time.  It was great having her actually come to us with this (which her therapist had convinced her to do).  We felt like she was finally taking ownership of things in her life.  We felt we could help her along the way and monitor here a bit more and get her on track for eating.  Unfortunately what we've found as many of you know, is it just isn't that easy.  Since the initial discovery of it till now, things have gotten no better and we are learning that she has absolutely no interest in changing.  Between the depression and the ED she just doesn't care.  We've talked with her about getting into a nutritionist and been met with the comment of ""whatever, it doesn't matter what they tell me I won't listen and want to keep losing weight"".  We daily force her to eat whatever we can, and get met with resistance every step of the way.  We, as parents, have become just plain tired.  We've battled the depression and suicide (and cutting to make things a bit more complicated) for the last 6 years and felt that up till about 6 months ago we had some success keep her in a good place. Now this creeps up on us.  In the past I've been able to look out and see through it all and know ""we will get through it"".  This is the first time I have to say I can't see the end here.  I've become frustrated!  Between her actions in the past and now this I feel like we have our family life revolves around her.  We have two boys whom we've unfortunately had to push aside at times and ignore.  So I get frustrated, then feel guilty that I'm frustrated with her and the fact our lives can't be ""normal"" (whatever that is anymore) which then leads to me be mad at her and myself.Not even sure what I hope to get with posting this (first time posting on any forum for this).  May be just a great place to vent.  It's hard because there may be support out there but when crap hits the fan, it'sjust you (and your spouse) to wad thru these waters.  It's good to see others get some of the same emotions.  It's just good to know we aren't alone.",_admin_moderator,"Sun,09/08/2019-11:59pm",Resources,"Hi bennys! We’re glad you reached out to the forums. The NEDA Helpline may be able to help out and can be reached at 800.931.2237 M-TH 9-9 EST and F 9-5 EST.Since you mentioned that your daughter has experienced some concerning feelings, we wanted to post some resources in case you need support through these thoughts.  Please take care.",,,,,,,,
16,shanglen,08/07/2019,Daughter home from residential. ,"My 16 year old daughter is home from residential recovery. Step 1. We have a very wonderful therapist, doctor and dietitian in place. Now I am terrified. She's home and that is fabulous. Why am I so freaked? She was in the hospital for refeeding for 3 weeks and finished  residential program. On discharge, they told us that the relapse rate was over 65%.
This was not helpful.
Help! Sigh.",_admin_moderator,"Wed,08/07/2019-5:59pm",Welcome! ,"Hi, thank you for posting! Please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines. If you’re looking for resources, please feel free to contact the Helpline at (800) 931-2237. The Helpline is open Mondays-Thursdays 9AM-9PM EST and Fridays 9AM-5PM EST. During these hours you can chat with us also by clicking the chat now option at the top right hand corner! You can learn more about recovery and relapse here: https://www.nationaleatingdisorders.org/learn/general-information/recovery Please continue posting!  ",,,,,,,,
17,brutus94,05/09/2019,Parent struggling to stay positive,"I am the father of a 19 year old with an ED for ~3 years.  We have been through ups and downs, many counselors, treatment options, a 10-day hospital stay, etc.  We have been through all the ""you have to try this"" and ""go to this counselor she is great"" and whatever other advice that friends and family have to offer.  We have been through the barriers where people (friends and family) have overcome their fear of confronting my daughter with their concern for her health and just come right out to tell her ""I know what you are struggling with, and I think you need help"".  We have had talks about short and long term health concerns (bone density, heart health, hair loss, inability to have kids, and death).  There have been so many times where I have thought ""this may finally be the thing that wakes her up and makes a permanent change"", only to have another setback or have her push away and insist on doing things her way.She is an amazingly smart kid.  And she is motivated (and stubborn) like nobody I know.  She has dreams of being a traveling nurse and helping people.  She has excelled academically in her first year of college.  She has knowledge, resources and support.  But in this particular area of her life, it is just not working.  The best way I can describe it is she is 100% committed to a course of action that is resulting in compromised physical health.  Logic and reason do not work.  She is, however, willing to admit there is a problem that requires attention.  But making progress is just so incredibly slow, and sometimes no-existent.  And she is determined to do it her way.  She agrees to go to counseling, but claims it does not help and as a result she fakes her way through it so at least she can say ""I'm trying"".  The phrase ""I'm trying"" is very frustrating for me to hear, because I can instantly think of 5-10 things that she will refuse to try.I cycle through emotional stages of hope, acceptance, frustration, sadness, depression, and anger.  My wife and I are tired.  I often feel like the best thing I can do is to keep my mouth shut and avoid lashing out in anger and frustration (I have learned my lesson that this does not help, and any temporary feeling of relief in blowing off steam is soon overshadowed by feelings of guilt and shame).  Most recently, we have told her that our financial assistance for college will end if her health does not improve.  It makes me sad to think she may miss out on an amazing, successful, and happy life.  She hates the idea of spending all her money on college, and she absolutely won't quit, so I am HOPEFUL once again that we have created a situation where she has to decide what option she wants to choose.  I have come to realize that nobody can help her unless she decides she wants the help.  I wish this was wrong, and correct me if I am.  Thanks for reading.",_admin_moderator,"Tue,07/16/2019-2:18pm",Editing note ,"Hi, BlueMoon. We just wanted to let you know that we deleted one of your posts since it included an outside link to a specific book. As per our community guidelines, we ask to not link to outside resources. Please take a look at our community guidlines here: https://www.nationaleatingdisorders.org/forums/community-guidelines. Thank you for understanding and please continue posting! ",,,,,,,,
18,cwb124,06/03/2019,10 year old developing eating disorder,"HI folks, new here.  Wife and I have a 10 year old son who starting around age 4-5 became VERY picky.  He used to eat the pureed vegetables we fed him as a baby and most everything else and then the wheels fell off.  He has cut his food down to a very few things.However over the last couple years he's developed what I must consider a serious eating disorder.  When nobody is awake yet or when he doesn't think anyone is around, he'll raid the cabinets for any food to be found. While this probably isn't entirely abnormal, some of the things he finds to eat perhaps is. We have recently discovered that he has pillaged out baking cabinet. Stuff that is barely edible on its own, he has cleaned out.  Whenever we go to the store, he sneaks money in his pocket and tries to buy snacks from the checkout isle.  When he discovers that we are allowing him to have a treat he gets almost anxious that he will miss out when obviously there's enough for everyone to have one.  I just see very odd eating behavior from him, and he's extremely difficult to feed.  Won't try ANYTHING new.  He's not overweight now but the way he's going if he keeps this up, he'll have serious health problems.  I am not sure what to do.  Thanks for listening and any suggestions.",_admin_moderator,"Mon,06/03/2019-4:46pm","Dear cwb124, welcome to the","Dear cwb124, welcome to the forums! We would like to let you know that we edited your post to remove mentions of specific food and disordered eating behaviors, which are not allowed on the forums. You can review our guidelines here. Thank you for your understanding and please keep posting! ",,,,,,,,
19,ginetta,06/02/2019,Thoughts ,"Hello,My daughter is 14 years old and I have realized that she needs to be in a residential facility.  She has never spent time away from home or close relatives before, so naturally, I am very hesitant. I am looking at a treatment facility in Portland Oregon. Does anyone have any experience with it?
Thank you in advance.",_admin_moderator,"Mon,06/03/2019-4:08pm","Dear ginetta, we would like","Dear ginetta, we would like to let you know that we edited your post to remove the name of the treatment facility. Treatment center recommendations are not allowed on our forums. You can review our community guidelines here. You can call NEDA's Helpline at 1-800-931-2237 to speak with a volunteer about treatment options. Helpline Hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET. ",,,,,,,,
20,staypositive,05/25/2019,How Can I Learn to Communicate Better with my Daughter after sending her to Treatment?,"We finally pulled our 16 year old from school and put her into a day program. She is mad. I betrayed her. I promised I would not put her in to a place she did not belong. She needs to be there. She doesn't see that. Somekids are severe there. She's not. She eats, now. She needs to learn how to eat enough to gain and maintain and how to have a healthy relationship with food..not the one that she believes is healthy. When people say ""eating disorder"" it's upsetting to her. I try to explain that ED encompasses a lot , not just not-eating. There are psychological components, behavioral..etc...and what she shows her parents is her distain for what we have ""to"" her...she can't see what we have done ""for"" her. She believes that she can just eat more. Exercise less. She is with drawing from friends because she doesn't want to explain where she is and why she's not at school. We love her so much and want to support her, we hope that she will understand, but she can't now. I want to control my temper when she lashes out at me and speaks harsh, I can sometimes, but not always. I want to learn how to communicate with her while she is in this new stage--the extremely angry stage. Advice?",_admin_moderator,"Sun,05/26/2019-7:13pm",Welcome!,"Hi staypositive, welcome to the NEDA forums! We had to slightly edit your post to remove some inappropriate language that violates the community guidelines, which can be found here. We're glad you are posting, and encourage you to continue to do so!",,,,,,,,
