,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
94,RoseyDanes,05-06-21,Worried about the future,"I cannot afford treatment. My boyfriend is locked in another country because of Covid. We are trying to do everything long distance, he is my only support. I work for someone who won't pay me. Been in denial that things are quite bad. Last fall I called the eating disorder hotline after my boyfriend begged me to, and was advised to go to the emergency room. Though I was given a drip, they were unable to give me more care apart from emergency blood work that I still haven't been able to pay for. When referred to a doctor, they told me that without insurance, my only hope was to pay out of pocket for eating disorder treatment, which they could not refer me to because of lack of insurance. I was homeless, living out of my car at the time. There's more but I can't really get into it, mostly because this is crappy enough. I worry sometimes that I will maybe die soon from this. It makes me sad. I wish there was someone who could help us.",RoseyDanes,"Sat,05/08/2021-4:53pm",Thank you,"I think it was the NEDA help line that advised me to go to the ER. Not sure, my boyfriend was the one who sent the phone number back then and I don't remember that day really well.  Some support would be very good.  I'll try to catch the chat during chat hours.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2Healthy4me,05-05-21,Low Energy Day-Brite Lights on in Thick Dense Fog...,"I feel like I'm stuck in a fog today. I did my usual routines this morning, but still slept in until 11 AM. Then after awakened I realize I only have 4 hrs left b4 I get ready for work. They had yummy, carb treats at work and I wasn't even tempted to indulge. It wasn't quite fresh and the flavors seemed dull when i peeked to see what flavors the carb slices came in...I only have 1 day off after tonight's shift of working 4 eves in a row. I have some mall returns to do, but would rather just donate the clothes to the clothing bin at where i live. Everything seems to take so much energy for me to do lately. Im already on a caffeine supplement, plus am a coffee hound, and take an AM Rx for seasonal affective disorder-and low moods. What else can I do? I do have anemia but taking iron is hard on my digestive system and requires a full meal b4 the iron supplement. I feel miserable, tired, stiff neck. I hope my day gets better. So far it is like being stuck in the doldrumzzzzz.Stepped on scale today and my weight is up a sudden amount and have no reason why... I keep gaining weight progressively. I do light exercise but no time for anything more. Am not eating enough be be gaining so progressively,  and really worried. Am wondering if my ovarian fibroids have decided to return and are like sponges just sucking in water and fluids and making me gain more and more every day.",Annet,"Thu,05/06/2021-11:39pm","Hi 2Healthy4me,","I am sorry to hear about the way you have been feeling lately.
The following statement lets me perceive how exhausted you feel:
""Everything seems to take so much energy for me to do lately"".
Anemia may be one of the causes but it would be worth to explore if you are also suffering from some depression. Not sleeping and restricting may be contributing to the situation.I would say, take one task at a time. For example: treat your anemia and ensure you get your iron levels back to normal. Eat... I know it is easier said than done BUT we do need to eat. The more we restrict, the more our body thinks there is a famine and starts slowing our metabolism down. We do not want that to happen, do we?It is great that you enjoy journaling. Journaling can help a lot to release anxiety and to try to find some patterns.",Tryingtoheal,"Fri,05/07/2021-12:02am",Reply,"When you're not eating regularly through the day, your body isn't sure when it will get fed regularly again. Remember too that your weight naturally fluctuates all day everyday anyway.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2Healthy4me,05-03-21,Slept in Late Today,"I work the eve shift so in order to make my energy last the full shift I now sleep in later on days scheduled to work the PM shift.
I then try and do everything I need to do for my ""To Do"" list before my 4 hrs at home is up.
Then I leave for work and this is how it is except on my days off. Those are my shopping, and pedicure days.
My stomach is feeling nervous and slightly distended and constipated this afternoon.
I keep forgetting to hydrate w/ water at work. At home it is simple I have bottomless cups of water with ice and flavored lemonade.
I am feeling dull this afternoon. I hope this dullness passes quickly. I may need some caffeine first though, or feel like molasses in January-----all day and throughout this evening.
Haven't eaten much since a small breakfast too. I will have a snack b4 I go to work.....
I can't eat ""Normally"" during my evening shifts. I bring several nourishing snacks to eat during 30 min break at work.
Am trying to maintain weight but it seems to keep creeping up. I don't  binge as often anymore.I try and exercise when I get a chance but no gym or pools yet that I am familiar with.",Tryingtoheal,"Mon,05/03/2021-8:50pm",It sounds like,"You are glorifying using the behavior of restricting. When you're not eating regularly through the day, your body isn't sure when it will get fed regularly again. Remember too that your weight naturally fluctuates all day everyday anyway.",2Healthy4me,"Tue,05/04/2021-5:29pm",Thanks,"Sorry, sometimes I just ramble on about my day in the life of my ED. It causes my brain to pool out oodles of useless words to others at times. I vent at times, more so than other times.Sorry if I triggered you, and thank you for the info on my weight fluctuations...",2Healthy4me,"Tue,05/04/2021-5:29pm",Thank you ,For finding stuff to edit like good editors should do...,Tryingtoheal,"Tue,05/04/2021-5:52pm",Perhaps ,"Writing in a journal might be helpful.  That way, you won't have to worry about whether what you're writing is triggering.   Or finding a therapist also.  Or you could reread what you wrote first.  Just some suggestions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2Healthy4me,05-02-21,I Return to a 4 Day Work week Today,"Dear God please give me the energy to do my job and not feel overwhelmed by any negative challenges that pass me by. Help me to be mindful of my patience needed for these challenging retail shifts. I am forced to work in lieu of my teaching job. I cant return to my onsite placement just yet.Help me to be Patient and be able to wait. I hope that there will be a bright and welcoming light calling me back ass the Fall season returns to ""Semi-Normalcy.""I hope that my certifications are rewarded for the last month which has pulled my positive energy down.I am losing belief in a supportive system that was fine until everyone in government has been laid off and now our claims and certifications are just memo's in an empty system w/in the government. Working retail almost FT is more exhausting than my normal, daily 1st job/career of 30 yrs now.....I am feeling hopeless that our system of government has run dry and the foundations of support for the OOMPA LOOMPA's out there awaiting to receive promised remunerative claim rewards are now sealed w/ a kiss of sarcasm and empty promises.Has the cartell run our country's amuck, am I paranoid, am I super sensitive. So far we have survived a 3rd world war. However, now this batch of war weapons have been bio-warfare type. We only know what the government is allowing us to know. My job was my routine during my simple existence. After losing both my parents w/in 4 yrs of each parent. Being emotionally well enough to return to work full time, and having worked FT since 2015 has been good for me. But now the work I am left to do is challenging both physically as well as mentally. The dark uniforms are even more depressing. Beige is my choice in avoiding my tight, restrictive of body movements. I went up a size but the new material makes me feel so much freer to move w/in my uniform for work pants. I just want everything to fall back into place.I want to continue working. Keeping busy and not being so in touch with my aging process. This is what I pray for,AMEN",DonAdele,"Sun,05/02/2021-6:46pm",We've all felt the challenges,"There are probably few people on the planet who haven't had to adjust in some way to COVID … maybe Iceland missed it.  You can only do what you can do.  If patience is difficult for you, then make it a challenge.  If pant size and fabric softness is a challenge (it is for me too), work on letting it go if there's nothing you can do.  The Serenity Prayer might be needed.  I have a card on my computer screen that says, ""I'm doing the best that I can"".  The flip side says, ""I did the best that I could at the time"".  They remind me. If you need to make a ""reminder"" affirmation card to stick it in your pocket at work, make one.  Just remember that you are not alone … the entire planet is working on ""change"".  Good luck!",2Healthy4me,"Mon,05/03/2021-5:31pm",Thank you,Nice to know someone reads my posts. They are not quite full of drama. It's all real but REALLY Boring to some readers I suppose. Thanks for your response.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,yvist_,05-02-21,Extreme hunger or mental/emotional craving?,"Hi, it is my first time posting here and I am not an English native speaker, so if anything sounds odd, please excuse me.
I am around 3 months in recovery, after being anorexic for approx. half a year. Ever since I started recovery, I haven't been restricting myself on food or forcing myself to workout. And given my anorexic period was pretty short, I thought extreme hunger would be gone very soon. But til now, I still occasionally experience it. Sometimes I couldn't even tell if it was extreme hunger or mental craving. Like sometimes I did not crave food but just wanted to have some spontaneously. And I would end up eating a lot (not in a binging manner, but slowly and sort of mindfully cuz I did ask my body if it was full).
To my understanding, extreme hunger means a strong urge to eat and a bottomless pit. When I experience the kind of hunger I mentioned, I don't feel an urge but I do have an insatiable appetite.
So is it extreme hunger, or not?
FYI, i am not trying to distinguish them so that I could only choose to satisfy the extreme hunger and ignore the mental cravings. I simply wanted to know how far I have gone on the recovery journey since I know the vanish of extreme hunger is one of the milestones and I really want to get there.
Plus my weight has restored, and i had only 6 months of anorexia, I should recover very soon... right?",kcporter6,"Mon,05/03/2021-7:39am",SAME,"I also was only anorexic for about 6 months before I was forced into recovery, and the weight restoration was easy for me because of extreme hunger. I ate like everything for several weeks/months  and gained the weight back quickly. In my NOT professional opinion, it doesn't matter how long you were ill, you were extremely deprived no matter what. I still eat ""more than a usual amount"" frequently, but it was pretty clear when the compensation for starving was finished. And regarding cravings/mental hunger/etc., again in my opinion, I think eating too much food will never be as bad as demonizing yourself or others for doing so. The stigma does more harm than the act.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,barewithme,04/18/2021,How much to eat when you’re already a normal size?,"I’ve had a ED for 13 years and fluctuated my weight during this time. I was never serverly underweight just boarderline.
For the last 3 years I have been eating complete meals and snacks but I know I’m not eating enough, and my resting metabolism is running very slow (had it measured)
I am a week in to going ‘All In’ as I read this can repair the metabolism. I am at a loss about how much I should eat though as the women in the stories I have read about began their recovery at a very low weight.
Does anyone know roughly what I should eat as someone who is already at a healthy weight?
I have spoken with a dietitian and they just said to eat without restriction but the thing is I’ve eaten so little for very long that if I didn’t pay attention to my eating I would probably still be under eating without realising.
Thank you!!",Tryingtoheal,"Sun,04/18/2021-9:55am",Check in,With your doctor or registered health at every size dietitian.,barewithme,"Tue,04/20/2021-4:31pm","Thank you, I'll have a look","Thank you, I'll have a look into this",Tryingtoheal,"Tue,04/20/2021-7:45pm",Your welcome ,Best of luck.,Tryingtoheal,"Sun,05/02/2021-7:19pm",How are you ,Doing today. Thinking about you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2Healthy4me,04/28/2021,Anyone Get Covid Vaccination Yet?,"I had 1 today, the 1 and only 1 time type. I felt a bit feverish after, but still took a short walk to get some fresh air. A few hours passed and now my lower back hurts. A have a few more days off from my retail job. I still need to do my grocery shopping. I walked around the mall yesterday. I looked at the sale clothes at Macy's. Everything was still very expensive, even after 30% sale. I purchased a few pants and some tops for work. Also purchased a pair of beige flats. I think I binge shopped because I bought more than I usually do. Hadn't been to the mall in 3 weeks so shopping felt like a happy thing to do.I am happy also that I didn't waste any money on junk or binge foods. Had there been a Target at my mall I just might have spent money on binge foods. Oh well, I suppose I did a Good Job.",DonAdele,"Sun,05/02/2021-6:35am","Sounds like you had a ""happy shot!""","Hi 2Healthy … yes, I had my vaccinations, I had 2 of them.  I had a lot of side affects … so many that my doctor's office told me to get to the ER immediately because some of them mimicked a stroke (brain fog, dizziness, memory loss, and more).  No stroke.  I had chills that lasted about 8 weeks, and the brain stuff is pretty much gone after 2 1/2 months … that's a long time to not have your brain working.  My emotions are more intense … quietly intense, like panic that passes quickly, and I don't like it.On the other hand, you had a happy, holiday (vaccinated) shopping spree.  Good for you.  And especially if you didn't use ED behaviors.  Yes, you did do a good job.I'm new here.  We'll probably get more acquainted as I post more frequently.",2Healthy4me,"Sun,05/02/2021-5:23pm",You are Blessed,"God has been good to you and you were tested in strength of overcoming these physical challenges following your Covid vaccination. I am happy for you that you made it through a lot of suffering after the vaccine was administered. I hope and pray that you get healthier each and every day. Be strong and fight the ED behaviors too, and find healthier ways of replacing ED and restore yourself to new happier and healthier daily routines.",DonAdele,"Sun,05/02/2021-6:37pm",So much more to work on.,"Thanks, ""Healthy"".  Getting healthier is definitely a challenge, cuz there's lots of other stuff besides ED recovery, like physical therapy for a back injury and chronic pain.  That actually set off an ED issue for coping and comfort.  I've gotten together a support system, but I still have to do all have to do the work.(((hugs)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,alice00,05-01-21,Feeling trapped in my own head.,"Hi, hope everyone is doing well. So I've been trying to get over a relapse for a while now.
I'm so tired of feeling this way, and really want to gain weight and start recovery again.
I don't want my ED to ruin my present and future anymore.
I've tried to recover several times now, but every time I end up getting nowhere.
It's so so frustrating. I feel like I am trapped in my own head.
I am getting help from professionals, and my parents at home are truly the best support I could wish for, I don't understand why I still feel this way.I don't know whether I should follow my meal plan again, which I have previously followed obsessively and I feel like has ruined my relationship with food even more, but it gave me the security I needed. 
I have mentally grown so much since my recovery (talking about feelings and so on), yet when it comes to food and weight, I am at the exact same place as before.
This is so frustrating, and I just feel lost.
If anyone has any advice, I would be very grateful to hear it :)",kcporter6,"Sat,05/01/2021-5:07pm",foods you enjoy!,"I don't have much to offer, but for me, sometimes when I know I need to eat I sometimes eat food that isn't exactly nutritious but calories are calories. It's ok to start there.",DonAdele,"Sun,05/02/2021-6:25pm",Dig Deep,"Hi Alice.  I know how hard it is to recover from relapses … I've had many.  If you've had a meal plan, therapy, and parents who have supported you, what do you think is holding you back?  Who did your initial food plan?  What it a dietitian?  Can you do a new one?  It's important that you have foods that you like … and variety.  To go back to the old one doesn't sound like it's going to work for you.  You can also add in a treat now-and-then; sometimes every day, if it's small.  I've done that for years … it keeps me from feeling deprived.  You say that you want to gain weight, and yet I'm wondering if you're afraid of that.  Sometimes gaining weight can bring on the fear that you won't be able to stop.  Do you have that fear?  I'm new here, so I'm wondering if your ""relapse"" is avoiding food … simply not eating.  It's sometimes easy to know what we need to do, but extremely difficult to actually do it.  If you can write down your fears when you're confronted with eating, maybe that will help.  Talk it out with your therapist. I agree, you don't want your ED to follow you for the rest of your life … and it can.  Keep digging, and see if you can figure out what's holding you back.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2Healthy4me,04/29/2021,"My Budget is on a ""Pending."" I am Feeling Quite Powerless Too!!","When i am angry or frustrated, and have a pool or gym to workout this is how i cope.Now w/ CV-19 hanging around to haunt the World I can do nothing but walk around a few blox.Only now my toe is bugging me and my thigh cramps up after 3 laps or so.I'm have certified five of my required re-cert dates for unemployment and now haven't heard back, only 5 PENDING notes on my history of re-certs. Since March 20th re-certs I  have awaited for a Payment status for 1.5 months now.I just want the money that is due to me from earlier employment. They stated that they have Extended my re-certs but Now am being and feeling highly annoyed. I cant call or write memo's online either as 0 representatives are available to answer my questions about why I am Not receiving my benefits after 1.5 months ago re-certs.This is frustrating. I lose my appetite rather than gain more of an appetite.As long as I am at home, sheltering away, I have no reason to eat large meals. I am not eating until dinner meal. This saves me money, as I currently am only working PT, and that small amount pays for my 1/2 of the rent plus all the bills too.What am I to do, am  feeling TOTALLY POWERLESS.....?",Annet,"Thu,04/29/2021-11:05pm","Hi 2Healthy4me,","I am sorry to hear about your situation. However, if you do not feed yourself properly, you are playing with fire. I know you may be saving some money. Unfortunately, in the long-term, there will not be money that can help you recover all the health damage you are doing to your body.I would say, prioritize eating. I am not saying that you go and have all your meals out at a fancy restaurant. I am suggesting you to prepare something healthy for each one of your meals. Eating healthy and enough will not put you in bankrupcy.On the other hand, I understand what you mean by being unable to go to the gym or the pool. I am also just walking but it happens that even with walking, I injure often!
To be honest it is quite frustrating but we have to give time to our bodies to repair themselves. We also need to eat well.Hugs
Annet",2Healthy4me,"Fri,04/30/2021-4:17pm",Thanks,for the helpful response...,Annet,"Fri,04/30/2021-10:03pm","Hi 2Healthy4me,","Something that has helped me to keep going is to think on how I want my life and health to be in the future. I know that if I continue to listen to my ED, I may either not arrive to old OR I could get old but with a lot of health-related issues.
I already have them but I do not want to make things worse.
I know it is hard to eat. But practice makes mastery. I have realized that the more you keep nourishing your body properly, the easier it gets.",2Healthy4me,"Sun,05/02/2021-5:41pm","Yes, I am definately aging.....","I feel powerless over the moments that are fleeing by w/o me being able to slow things down.I feel like I am struggling with a sink hole full of quicksand. I am trying hard, struggling to breath, to climb up out of my hole of misery and struggle but my feeling of hunger, and isolation, especially during CV-19 is really difficult.I have wishes and aspirations which seem to be higher than my ladder will allow me to reach to.There is glass above even if I do reach the ceiling. I am tired of diving through hoops, and putting up with certain attitudes that I have No Control over.These attitudes, they seem to come from the depths of the abyss. They are resistant to any positive advice that slip from my mouth and onto my tongue and lips. Projecting Positivity has become a struggle as I may care and try but the resisting challenge is causing me to not care about these negative others. I am the only footprints in the sand at a lovely beach shore. I am alone and trying not to walk too close to the waves that call me to seek ""The Simple Solution "" to ALL of my life that challenges, disrespects me, and leads me to Rise Above the Negative Energy that is causing my self to have a homeostatic fight with. Darkness vr Light is a lifetime struggle for me.No one seems to Listen to me when I have cared the most about them.I just hate the undertow which is grabbing my free legs for resisting this negative aura force me to stay and breath in negative, foul, air around myself and my best efforts.Shall I Finally ""Slam the refrigerator shut? ""I cant think as much as I  react to things that are dark and evil.I am conditioned to react swiftly, and seek help from my higher power to take this load of ______________ from beneath me and save me from being sucked into the abyss of dark energy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,kcporter6,05-01-21,motivation for real recovery,"Hi! I actually really like this page. I was forced into recovery a little bit ago, and I relapsed. My support in recovery has been inconsistent to say the least and it makes me feel like I won't be able to maintain recovery. I either am deep in anorexia, dying to be back in it, or eating everything in sight for weeks and weeks. I wish I could be normal lol. I know I need support in general and I can do support groups and stuff but how do I stick to recovery when I have to do it alone and know no one is gonna notice if I truly recover? Any advice?",DonAdele,"Sun,05/02/2021-7:31am",Recovery has to be for you.,"If you're forced into recovery, do you think that is an advantage?  I was forced into recovery too, but I used that to motivate me to go into treatment, which probably saved my life.  But it's very difficult to recover just because some one else says you have to.  Recovery has to be something that you want … you, not ""them"".If you have support groups, then why do you say that you're doing this all alone.  A support group is a support group … what is the reason that you can't use some in this group to give you support?
A text, a phone call?  Is there someone you trust? Can you work out a system?...when you're tempted, send a text first?  If the person can't respond, perhaps just texting a ""vent"" will stop the ED process.  It's worked for me … sometimes. :-)It's very difficult to recover when you're totally on your own.  And you're right, no one will know … except that you can tell them.   On the other hand, if people know that you have unusual eating habits and they noticed that has stopped, they'll know something is different.  If you want them to know that you're recovering from an ED, if it helps you feel victorious and you feel a need to share, and they are safe people... then tell them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,amygotgrace,04/30/2021,Schedule eating times,"I just watched a YouTube video that suggested eating 3 meals a day at scheduled times to combat binging. Has anyone tried this? Results?
Please and thank you.",amygotgrace,"Sat,05/01/2021-7:01pm",Helpline,"Thank you. I intend to do that next week although I never really talk to anyone about anything...don’t have any friends anymore because I’ve isolated myself for so long now, I don’t really know if I’ll be able to make the call. But I’ll try.",Tryingtoheal,"Sat,05/01/2021-7:20pm",Perhaps ,Talking with a registered dietitian who is familiar with health at every size and familiar with eating disorders would be a great place to start.,amygotgrace,"Sat,05/01/2021-7:25pm",I will,Look into that but as of last year there was not one in the area. Perhaps that has changed. Thank you.,Annet,"Sat,05/01/2021-9:50pm","Hi amygotgrace,","With bulimia and binge eating what happens is that you are so hungry due to the restriction/bingeing cycle that every time you put something into your mouth, you just can not stop eating.
However, if you start feeding yourself regularly, those bingeing urges will subside. It will not happen overnight but it will.
I can tell you I have a lot of years without bingeing and everything started with eating my 3 meals ALWAYS and some snacks in the case I felt hungry in between.
It is also important that you are giving your body what it needs. If your body is in energy deficit, it will tend to over-eat or binge.",Tryingtoheal,"Sat,05/01/2021-10:44pm",You're welcome ,"I know doing it alone is next to impossible.   Maybe try talking to neda online and they can send some names of people in your area.  Psychology today is good, too.  Keep me posted.",DonAdele,"Sun,05/02/2021-7:12am", More to think about,"It is very true … you don't want to be so hungry that you just automatically binge.  There are some other thoughts here as well.  When I got out of residential recovery, I saw a dietician at the hospital and the first thing she said to me was, ""Do you want to eat 2 meals a day, 3, or 4?""  I said, ""I can choose?""  Yes.  So I chose 3. So the number of meals was decided.  But there's more to eating disorder recovery besides the number of meals and making sure you're getting nourished.  Eating disorders are about emotions.  We eat when we're happy, sad, discouraged, excited, angry, or anything else … we push away our feelings by stuffing ourselves with food.  So that's another very important issue to think about.",DonAdele,"Sun,05/02/2021-7:16am",Dietitians at the Hospital,"Have you checked a local hospital to see if their dietitian works with people who have eating disorders?  Many do.Yes, check your area for therapists who have experience with eating disorders.  Psychology Today is a good resource.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,DonAdele,04/26/2021,Wanting to stop a Behavior,"Hi … I'm new here; although I've been with other support groups (live and online) for many years.  I was bulimic for 40 years and have over 10 years of recovery.  Now I'm struggling with complex post traumatic stress disorder, and have been using chewing/spitting to cope or console myself.  Select ""foods"" are giving me comfort.  I want to stop this behavior.  I'm in therapy, but ED's are not my therapist's strongpoint.  We're working more on the traumas, and doing some couple's counseling.  I would love some support from others who understand EDs.  I also hope that I can give support too, as I've had a lot of experience in recovery.  A huge part of this journey will be discovering a new purpose in life … that, I think is the major obstacle in my way.  Another problem is isolation … way before COVID. I look forward to someone saying, ""Hi"", and then I can get to work. :-)",Annet,"Mon,04/26/2021-9:52pm","Hi Don Adele,","Welcome to the forum and Congratulations on letting your bulimic behaviours behind!
I also struggled with bulimia and recovered. Now, I have OSFED with some anorexic tendencies.
Although I am ""normal"" most of the time, I still struggle with purgative anorexia, restriction or over-exercising every once and then (when life gets hard).I do not have any experience with Cheewing and spitting disorder. However, I hope some of the members of this forum can provide you with some inputs in that regard.If you are working on your PTSD, I am sure that will help you with your c/s issues. PTSD causes a lot of anxiety and as result, we tend to cope with our ED. In your case and due to your history, I am sure you did not want to deal with Bulimia. I know it is hell. So, you chose (uncounsciously, of course!) ""something less damaging"" that at the end is also an ED but saves you the pain of over-eating and vomiting.It is the same ED thing but with another mask. Fortunately, you are already getting treatment and your experience with overcoming bulimia will help you get rid of c/s quickly.You can do it. I am sure of it. Just do not stop working on modifying those behaviours. Hugs
Annet",DonAdele,"Sun,05/02/2021-7:01am", Getting Started,"Hi Annette.  I have to say this c/s didn't start unconsciously … I've been doing it quite a while, but in recent months it's become way out of control.  I got myself a small support team together, and now I can get more ""real time"" support … like texting when someone's already gone to bed, if I need to vent, or I'm having a struggle. I can also text during the day if I'm tempted to go to the store, and need a, ""no you don't"".  I just started this 2 days ago and had 2 good days, but not tonight.  Smaller amount,  but I was so hyper … mercy!  I can share more specifics as I go along.  There are 2 parts to this and I'm only doing part 1 now, which is no junk food from the store.  Every time I have a victory, I put a little star on my calendar; when I start Part #2 and have a victory, then I get 2 stars.  I'll see how this works.  Tell me what OSFED stands for.  That's new to me. I'm glad you've recovered from bulimia … that certainly is a hell we don't need.  One thing about any disorder is the feeling of shame, and the entrapment … like we'll never stop and our lives will revolve around these behaviors forever.  That has c/s right up there with everything else … you can't stop and your trapped.  I have a plan.  Now I have to work it.  If it doesn't work, then I'll need to be creative and come up with something else.Thanks again for posting!I'm not working much on trauma, in fact, I'm stopping.  My therapist has not helped me, in 3 years.  We just don't match well at all.  I've stayed for several reasons, but no more.  I'm looking for someone else.  I guess it hasn't all been wasted since my husband and I will be doing couple's therapy.  That's going to be a real challenge since I've lived with a narcissistic controller for decades.  It seems I'm having a metamorphisis over the week-end because all-of-a-sudden I'm starting to feel ""boundaries"" taking place.  I've been a people pleaser all my life, but with my husband, I'm also compliant and submissive.  No longer.  I hope.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,HeroCat,04/29/2021,Pain managment,"It's been a long time since I was last on the forum, but I am feeling almost crazy from pain and I thought posting might help. I have suffered from my ED for a really long time now and am experiencing some of the fallout from a long term ED. I was out for a really easy jog the other day and my pelvis stress fractured in 4 places without warning. I have been trying to be easy on my pelvis and lost my balance the other day falling and landing full force on my sternum on a table corner and now that's fractured too. I can't help feeling that in some way I deserve all this. I made choices that have resulted in this and now I have to live with the consequences. I have to say, it's pretty challenging being in this much pain. I feel very frustrated having to ask people for help etc. I can't even fasten my own seatbelt right now! Ugh.",Annet,"Thu,04/29/2021-10:05pm","Hi HeroCat,","I am sorry to hear about your pain and the long term consequences your ED is having to your body.
I am experiencing something similar. I live in pain all day long and doctors just can not figure out what's wrong. I blame myself due to the 21 years of my ED. I hate myself for all the damage I have done to my body. But you know what? It is never too late. We can still work on not making things worse for the future and in remediating our current issues.The above does not happen overnight. It is not a miracle. We do need to do the hard work and to stop damaging our body. BUT it is NOT our fault what is happening to us right now. When we engaged in all our damaging behaviors, that was the best way to cope with whatever we were dealing with. We did not decide ""on purpose"" to damage ourselves.Keep going. I have seen my body is slowly repairing years of damage. Things are not 100% back to normal but at least, they are a bit better than before. I have faith that over time, I can have less pain and a better quality of life.You can get it, too.Hugs
Annet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,CASACERA,04/27/2021,today's hymn with my lyrics,"Let there be peace on earth
and let it begin with me
Let There Be Peace on Earth
the peace that was meant to be
good health and my comfort
and making sense logically,
my conscious and subconscious
in perfect harmony.Let peace begin with me
let this be the moment now.
With any food I eat
let this be my solemn vow:
To take each moment and live
each moment, eating peacefully
Let there be peace on earth
and let it begin with me.  CC",Annet,"Tue,04/27/2021-11:45pm",AMEN,Amen to this...,2Healthy4me,"Wed,04/28/2021-1:43am",Very COOL,Great to hear back from you here. I thought something happened to you like a nice vacation? Good to read that you are in good spirits and revering your higher holiness...,CASACERA,"Thu,04/29/2021-4:05pm",oh dear 2healthy4me,"""from your lips to God's ears""...I'm in food spasm-land with no help. Fine caring therapist who will not give up on me. But my food addiction grabs me once I start eating and blocks out all of my painful history and consequence of over eating. I never give up and try every day for every day is a new possibility of reining in this wild horse. So sweet of you and Annet too for your thoughts and concern. CC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
